preprocessedSmiles;Molecule ChEMBL ID;y_true_label
COc1cccc(-c2cc(NC(C)=O)nc(-n3nc(C)cc3C)n2)c1F;CHEMBL486745;1
CCNC(=O)C1OC(n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(C(=O)NCCNC(=O)NCc4ccc(C(=O)O)cc4)nc32)C(O)C1O;CHEMBL1095604;1
Cn1cc(-c2c(-c3ccccc3)nc(N)n3nc(Cc4ncccc4F)nc23)ccc1=O;CHEMBL4870159;1
Cn1cc(-c2c(-c3ccc(F)cc3)nc(N)n3nc(C(O)c4ncccc4F)nc23)ccc1=O;CHEMBL4876080;1
Cn1cc(-c2c(-c3ccccc3)nc(N)n3nc(C(O)c4ncccc4F)nc23)ccc1=O;CHEMBL4873266;1
CC(=O)Nc1cc(-c2cccc(N(C)C)n2)nc(-n2nc(C)cc2C)n1;CHEMBL487572;1
Nc1nc2c(cnn2CCCc2ccc(OCc3ccccc3)cc2)c2nc(-c3ccco3)nn12;CHEMBL423852;1
Cc1nc(C(=O)c2ccc(C)s2)c2sccc2n1;CHEMBL1077749;0
O=C(c1cccs1)c1nc(NCc2cccnc2)nc2cc(Cl)sc12;CHEMBL1080068;1
COc1cccc2c1nc(N)n1nc(C3CC3c3ccc4c(c3)CCNC4)nc21;CHEMBL5413330;1
Cc1ccc(-c2nc(N)nc3c2ncc(=O)n3CCN2CCC(c3ccccc3)CC2)o1;CHEMBL5092671;1
COC(=O)Nc1nc2cc(C(=O)c3cccs3)ccc2[nH]1;CHEMBL9514;0
Nc1nc(-c2ccc(F)cc2F)cn2c1nc1ccccc12;CHEMBL4876739;1
COc1cc(OC)cc(-c2cc(NC(C)=O)nc(-n3nc(C)cc3C)n2)c1;CHEMBL487569;1
CC(=O)Nc1cc(-c2cccc(N3CCN(C)CC3)n2)nc(-n2nc(C)cc2C)n1;CHEMBL486162;1
CSc1c2c(nc(N)n3nc(-c4ccco4)nc23)nn1C;CHEMBL281129;1
Cc1[nH]c2nc(-c3ccccc3)nc(NC(CO)CC(C)C)c2c1C;CHEMBL78659;0
Cc1ccc(C(=O)c2nc(NCc3ccncn3)nc3ccsc23)s1;CHEMBL1077902;1
Cc1ccc(C(=O)c2nc(NCc3cccnc3)nc3ccsc23)cc1;CHEMBL1079142;1
CNc1cc2nc(NCc3cccnc3)nc(C(=O)c3cccs3)c2s1;CHEMBL1077943;1
CCOC(=O)CCCOc1ccc(CCNc2nc(N)n3nc(-c4ccco4)nc3n2)cc1;CHEMBL2381770;1
CCCC(=O)Oc1ccc(CCNc2nc(N)c3nc(-n4nccn4)n(C)c3n2)cc1;CHEMBL2381759;0
CC(C)C(=O)NC1CC(n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(NCCc4cn(C(C)C)cn4)nc32)C(O)C1O;CHEMBL590484;1
CCC(CC)CNc1nc(NCCc2cn(CC)cn2)nc2c1ncn2C1CC(n2cc(CO)cn2)C(O)C1O;CHEMBL604591;1
CCn1nc(-c2cccc(-c3cccc(C(=O)NCCN(C)C)c3)c2)cc(NC(=O)Nc2c(Cl)cncc2Cl)c1=O;CHEMBL3980193;1
Nc1nc(NCCc2ccco2)nc2sc(-c3ccco3)nc12;CHEMBL4167557;1
CCCCc1nc2[nH]cnc2c2nc(-c3cccc(OC)c3)nn12;CHEMBL123172;1
Cc1cccc(Cn2ccc(-c3cc(-c4cccc(C#N)c4C)nc(N)n3)cc2=O)c1;CHEMBL5412117;1
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1;CHEMBL91;0
COc1cccc(-c2cn3c(nc4cc(F)c(F)cc43)c(N)n2)c1;CHEMBL4862573;1
CC(=O)Nc1cc(-c2cncc(N3CCOCC3)c2)nc(-n2nc(C)cc2C)n1;CHEMBL521029;1
CC(=O)Nc1cccc(-c2cn3c(nc4ccccc43)c(N)n2)c1;CHEMBL4858421;1
Nc1nc(C(=O)NCCc2ccccn2)cn2c1nc1ccccc12;CHEMBL5171148;1
CCC(=O)Nc1cc(-c2cncc(OC)c2)nc(-n2nc(C)cc2C)n1;CHEMBL486140;1
Nc1nc2c(cnn2CCCc2ccc3c(c2)OCO3)c2nc(-c3ccco3)nn12;CHEMBL307748;1
CC(O)CCc1nc(N)c2nc(-n3nccn3)n(C)c2n1;CHEMBL2398483;1
Cn1c(-n2nccn2)nc2c(N)nc(NCCc3ccc(O)cc3)nc21;CHEMBL2381763;0
CCOC(=O)CCCOc1ccc(C=Cc2nc3c(c(=O)n(CC)c(=O)n3CC)n2C)cc1OC;CHEMBL2381767;0
Nc1nc(-c2ccco2)nc2sc(-c3ccccc3)nc12;CHEMBL4440137;1
Nc1nc(-c2ccco2)nc2sc(-c3ccco3)nc12;CHEMBL4559969;1
Cc1ccc(-c2nc(N)nc3c2ncc(=O)n3CCN2CCN(c3ccccc3F)CC2)o1;CHEMBL5091888;1
N#Cc1c(N)nc(SCc2cccc(C(N)=O)c2)c(C#N)c1-c1ccco1;CHEMBL4581984;1
COC(=O)c1cccc(CSc2nc(N)c(C#N)c(-c3ccco3)c2C#N)c1;CHEMBL4448894;1
CCNC(=O)C1OC(n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(C(=O)NCCN(C)C(=O)NCCN4CCCCC4)nc32)C(O)C1O;CHEMBL1096891;1
CCNC(=O)C1OC(n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(C(=O)NCCNC(=O)NCc4ccc(CN(CC)CC)cc4)nc32)C(O)C1O;CHEMBL1096895;1
COc1ccccc1-c1cn2c(nc3ccccc32)c(N)n1;CHEMBL4849821;1
Nc1nc2c(cnn2Cc2ccc(O)cc2)c2nc(-c3ccco3)nn12;CHEMBL416684;1
CCCCc1nc2[nH]ncc2c2nc(-c3ccccc3Cl)nn12;CHEMBL421611;1
CCCSc1c2c(nc(N)n3nc(-c4ccco4)nc23)nn1C;CHEMBL280888;1
Nc1nc(NCc2cccnc2)nc2sc(-c3ccco3)nc12;CHEMBL4167125;1
Nc1nc(NCc2ccsc2)nc2sc(-c3ccco3)nc12;CHEMBL4159215;1
Nc1nc(-c2ccc(Br)cc2)cn2c1nc1ccccc12;CHEMBL4862534;1
Nc1nc(N2CCCN(CCc3cccc4[nH]c(O)cc34)CC2)nc2nc(-c3ccco3)nn12;CHEMBL3394277;0
CC(C)(C)OC(=O)N1CCC(Nc2nc(N)n3nc(-c4ccco4)nc3n2)CC1;CHEMBL3394267;0
CCCN(CCCNC(=O)CCCCCCCCCCCNC(=O)CCCOc1ccc(CCNc2nc(N)n3nc(-c4ccco4)nc3n2)cc1)CCc1cccc2[nH]c(O)cc12;CHEMBL3394259;0
Cc1[nH]c2nc(-c3ccccc3)nc(NC3Cc4ccccc4C3O)c2c1C;CHEMBL441806;0
Nc1nc(-c2cccc(O)c2)nc2sc(-c3ccccc3)nc12;CHEMBL4447861;1
Cc1cccnc1CNC(=O)c1cnc(-c2ccco2)nc1N;CHEMBL4782266;1
Cn1c(-n2ccnn2)nc2c(N)nc(NCCc3ccc(O)cc3)nc21;CHEMBL2381764;0
COc1ccccc1Cn1cc2nc(-c3ccco3)nc(N)c2n1;CHEMBL3798766;1
CCCN(CCCNc1nc(N)n2nc(-c3ccco3)nc2n1)CCc1cccc2[nH]c(O)cc12;CHEMBL3394265;1
CCCCc1nc2[nH]ncc2c2nc(-c3ccc(OCC)cc3)nn12;CHEMBL340262;0
CCc1nc2[nH]ncc2c2nc(-c3ccccc3)nn12;CHEMBL340221;1
Cc1cc(-c2nnc(N)nc2-c2ccc(F)cc2)cc(C)n1;CHEMBL2024116;1
CCn1nc(-c2cccc(-c3cccc(C(=O)NCCN4CCOCC4)c3)c2)cc(NC(=O)Nc2c(Cl)cncc2Cl)c1=O;CHEMBL3986586;1
O=C(O)CC1CCC(OC2CCN(c3ccc(-c4nc5c(F)cc(F)cc5[nH]4)cn3)CC2)CC1;CHEMBL4464262;1
